step,potential_energy,temperature
675000,-4239.800000000014,1.0
676000,-4268.800000000012,1.0
677000,-4344.200000000013,1.0
678000,-4245.600000000012,1.0
679000,-4268.800000000012,1.0
680000,-4251.400000000013,1.0
681000,-4326.800000000015,1.0
682000,-4199.2000000000135,1.0
683000,-4274.600000000016,1.0
684000,-4361.600000000016,1.0
685000,-4286.2000000000135,1.0
686000,-4228.200000000016,1.0
687000,-4234.000000000014,1.0
688000,-4326.800000000016,1.0
689000,-4338.400000000016,1.0
690000,-4321.000000000015,1.0
691000,-4292.000000000013,1.0
692000,-4257.200000000015,1.0
693000,-4263.000000000013,1.0
694000,-4321.000000000016,1.0
695000,-4350.000000000016,1.0
696000,-4309.400000000012,1.0
697000,-4297.800000000015,1.0
698000,-4263.000000000013,1.0
699000,-4216.600000000014,1.0
700000,-4245.600000000015,1.0
701000,-4239.800000000016,1.0
702000,-4199.200000000018,1.0
703000,-4193.400000000014,1.0
704000,-4234.000000000016,1.0
705000,-4274.600000000016,1.0
706000,-4286.200000000014,1.0
707000,-4268.800000000016,1.0
708000,-4245.600000000014,1.0
709000,-4379.000000000019,1.0
710000,-4379.0000000000155,1.0
711000,-4379.000000000018,1.0
712000,-4361.600000000019,1.0
713000,-4309.400000000016,1.0
714000,-4344.200000000014,1.0
715000,-4280.400000000015,1.0
716000,-4315.200000000016,1.0
717000,-4297.8000000000175,1.0
718000,-4379.000000000021,1.0
719000,-4361.600000000017,1.0
720000,-4373.200000000017,1.0
721000,-4373.200000000016,1.0
722000,-4402.200000000018,1.0
723000,-4402.20000000002,1.0
724000,-4466.000000000019,1.0
725000,-4442.80000000002,1.0
726000,-4471.800000000021,1.0
727000,-4495.000000000022,1.0
728000,-4326.800000000018,1.0
729000,-4448.600000000019,1.0
730000,-4350.000000000018,1.0
731000,-4437.0000000000155,1.0
732000,-4437.000000000015,1.0
733000,-4477.600000000019,1.0
734000,-4477.600000000016,1.0
735000,-4518.200000000019,1.0
736000,-4483.400000000019,1.0
737000,-4483.400000000018,1.0
738000,-4425.400000000018,1.0
739000,-4466.000000000019,1.0
740000,-4541.400000000021,1.0
741000,-4518.200000000019,1.0
742000,-4582.000000000022,1.0
743000,-4460.20000000002,1.0
744000,-4506.600000000019,1.0
745000,-4541.400000000021,1.0
746000,-4512.400000000018,1.0
747000,-4524.000000000019,1.0
748000,-4535.600000000017,1.0
749000,-4524.000000000019,1.0
750000,-4587.800000000019,1.0
751000,-4570.400000000018,1.0
752000,-4471.800000000019,1.0
753000,-4529.8000000000175,1.0
754000,-4599.40000000002,1.0
755000,-4529.8000000000175,1.0
756000,-4558.800000000017,1.0
757000,-4529.80000000002,1.0
758000,-4535.600000000019,1.0
759000,-4558.800000000018,1.0
760000,-4529.800000000018,1.0
761000,-4564.600000000018,1.0
762000,-4628.400000000019,1.0
763000,-4634.200000000017,1.0
764000,-4645.800000000019,1.0
765000,-4611.000000000018,1.0
766000,-4616.800000000019,1.0
767000,-4593.6000000000195,1.0
768000,-4582.000000000018,1.0
769000,-4616.8000000000175,1.0
